date,SmallCap,LargeCap
1926-07,-0.0145,0.0329
1926-08,0.0512,0.037
1926-09,0.0093,0.0067
1926-10,-0.0484,-0.0243
1926-11,-0.0078,0.027
1926-12,-0.0266,0.0301
1927-01,0.0453,-0.0043
1927-02,0.0685,0.0365
1927-03,-0.0591,0.0085
1927-04,0.0467,0.009
1927-05,0.0531,0.0525
1927-06,-0.0201,-0.0214
1927-07,0.0804,0.0785
1927-08,-0.0088,0.0171
1927-09,-0.0071,0.0534
1927-10,-0.0555,-0.0376
1927-11,0.2242,0.0656
1927-12,0.0449,0.0073
1928-01,0.1679,-0.0116
1928-02,-0.0155,-0.0122
1928-03,0.0585,0.0679
1928-04,0.2775,0.0359
1928-05,0.1232,0.0087
1928-06,-0.0965,-0.0414
1928-07,-0.0272,0.0117
1928-08,0.0281,0.0765
1928-09,0.0863,0.0234
1928-10,0.0224,0.0187
1928-11,0.1315,0.1462
1928-12,-0.0231,0.0047
1929-01,0.0636,0.0493
1929-02,0.0119,-0.0015
1929-03,-0.0414,0.0032
1929-04,0.0503,0.0172
1929-05,-0.1189,-0.0343
1929-06,0.0414,0.0906
1929-07,-0.0199,0.0455
1929-08,-0.0229,0.098
1929-09,-0.0522,-0.0508
1929-10,-0.1921,-0.1775
1929-11,-0.1133,-0.1194
1929-12,-0.1205,0.0222
1930-01,0.1776,0.0406
1930-02,0.0506,0.0302
1930-03,0.1817,0.059
1930-04,-0.0944,-0.0069
1930-05,-0.106,-0.0078
1930-06,-0.1975,-0.1496
1930-07,0.0161,0.0393
1930-08,-0.0531,0.0019
1930-09,-0.1393,-0.1173
1930-10,-0.0689,-0.0834
1930-11,-0.0463,-0.0258
1930-12,-0.224,-0.0757
1931-01,0.2581,0.0671
1931-02,0.2306,0.1117
1931-03,-0.0077,-0.0597
1931-04,-0.1859,-0.1023
1931-05,-0.1301,-0.131
1931-06,0.2401,0.1595
1931-07,-0.0377,-0.0731
1931-08,-0.0667,0.0062
1931-09,-0.2526,-0.2843
1931-10,0.0594,0.0779
1931-11,-0.069,-0.1007
1931-12,-0.2442,-0.1539
1932-01,0.2135,0.0174
1932-02,-0.0114,0.0569
1932-03,-0.0971,-0.1282
1932-04,-0.1508,-0.1872
1932-05,-0.0545,-0.2506
1932-06,0.0543,0.0096
1932-07,0.4819,0.353
1932-08,1.3429,0.3779
